DATE,Y10_FIT,RNY10,TP10
20210909,-0.3381,0.8943,-1.2324
20210910,-0.3332,0.8961,-1.2292
20210913,-0.3281,0.8907,-1.2188
20210914,-0.3255,0.8862,-1.2117
20210915,-0.3102,0.8857,-1.1958
20210916,-0.285,0.8685,-1.1535
20210917,-0.2679,0.8648,-1.1328
20210920,-0.302,0.8656,-1.1676
20210921,-0.3233,0.878,-1.2013
20210922,-0.3093,0.8764,-1.1857
20210923,-0.2585,0.8668,-1.1253
20210924,-0.2054,0.8435,-1.0489
20210927,-0.2061,0.8476,-1.0536
20210928,-0.1649,0.8323,-0.9972
20210929,-0.2102,0.846,-1.0562
20210930,-0.1713,0.8303,-1.0016
20211001,-0.2158,0.8359,-1.0517
20211004,-0.1861,0.8214,-1.0075
20211005,-0.1805,0.814,-0.9946
20211006,-0.1698,0.8167,-0.9865
20211007,-0.1662,0.8057,-0.9719
20211008,-0.1363,0.7962,-0.9325
20211011,-0.101,0.7917,-0.8927
20211012,-0.0847,0.7955,-0.8802
20211013,-0.115,0.8192,-0.9342
20211014,-0.1613,0.8318,-0.9931
20211015,-0.1423,0.8306,-0.9729
20211018,-0.126,0.8557,-0.9817
20211019,-0.0818,0.8605,-0.9423
20211020,-0.1013,0.8332,-0.9345
20211021,-0.0688,0.8301,-0.899
20211022,-0.074,0.8499,-0.9238
20211025,-0.094,0.8402,-0.9342
20211026,-0.108,0.8459,-0.9539
20211027,-0.1612,0.8766,-1.0379
20211028,-0.1388,0.896,-1.0348
20211029,-0.064,0.8908,-0.9548
20211101,-0.0822,0.8943,-0.9765
20211102,-0.1449,0.8585,-1.0034
20211103,-0.1472,0.8694,-1.0166
20211104,-0.213,0.8313,-1.0443
20211105,-0.2639,0.8568,-1.1207
20211108,-0.2492,0.8408,-1.09
20211109,-0.2789,0.8537,-1.1326
20211110,-0.2535,0.8544,-1.1079
20211111,-0.2117,0.8453,-1.057
20211112,-0.239,0.8281,-1.0672
20211115,-0.2309,0.8378,-1.0687
20211116,-0.2248,0.8155,-1.0403
20211117,-0.2277,0.8203,-1.048
20211118,-0.2464,0.8268,-1.0732
20211119,-0.3175,0.8376,-1.1551
20211122,-0.3105,0.8418,-1.1523
20211123,-0.227,0.8138,-1.0408
20211124,-0.2,0.7911,-0.9911
20211125,-0.2398,0.8363,-1.0761
20211126,-0.3224,0.8561,-1.1785
20211129,-0.2915,0.8584,-1.1499
20211130,-0.3536,0.8847,-1.2382
20211201,-0.3261,0.9203,-1.2464
20211202,-0.372,0.9199,-1.292
20211203,-0.3563,0.9266,-1.2829
20211206,-0.3791,0.9331,-1.3122
20211207,-0.3654,0.9528,-1.3182
20211208,-0.3203,0.947,-1.2673
20211209,-0.3511,0.9437,-1.2948
20211210,-0.3419,0.9457,-1.2875
20211213,-0.3645,0.9661,-1.3306
20211215,-0.3477,0.9642,-1.3119
20211216,-0.3374,0.9488,-1.2862
20211217,-0.3642,0.9449,-1.3091
20211220,-0.3563,0.9344,-1.2907
20211221,-0.3021,0.9161,-1.2181
20211222,-0.2742,0.9171,-1.1912
20211223,-0.24,0.909,-1.149
20211224,-0.2397,0.9063,-1.146
20211227,-0.2311,0.9111,-1.1421
20211228,-0.2293,0.9146,-1.1439
20211229,-0.1967,0.8969,-1.0936
20211230,-0.1842,0.9028,-1.087
