DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
20210910,0.3657,0.3657,0.3657,0.3657,0
20210913,0.3722,0.3722,0.3722,0.3722,0
20210914,0.3749,0.3749,0.3749,0.3749,0
20210915,0.3976,0.3976,0.3976,0.3976,0
20210916,0.4388,0.4388,0.4388,0.4388,0
20210917,0.4707,0.4707,0.4707,0.4707,0
20210920,0.4275,0.4275,0.4275,0.4275,0
20210921,0.4293,0.4293,0.4293,0.4293,0
20210922,0.4331,0.4331,0.4331,0.4331,0
20210923,0.5413,0.5413,0.5413,0.5413,0
20210924,0.5534,0.5534,0.5534,0.5534,0
20210927,0.5620,0.5620,0.5620,0.5620,0
20210928,0.5924,0.5924,0.5924,0.5924,0
20210929,0.5822,0.5822,0.5822,0.5822,0
20210930,0.6186,0.6186,0.6186,0.6186,0
20211001,0.6055,0.6055,0.6055,0.6055,0
20211004,0.5910,0.5910,0.5910,0.5910,0
20211005,0.6621,0.6621,0.6621,0.6621,0
20211006,0.6634,0.6634,0.6634,0.6634,0
20211007,0.6701,0.6701,0.6701,0.6701,0
20211008,0.7424,0.7424,0.7424,0.7424,0
20211011,0.7731,0.7731,0.7731,0.7731,0
20211012,0.7463,0.7463,0.7463,0.7463,0
20211013,0.7079,0.7079,0.7079,0.7079,0
20211014,0.6738,0.6738,0.6738,0.6738,0
20211015,0.7202,0.7202,0.7202,0.7202,0
20211018,0.7989,0.7989,0.7989,0.7989,0
20211019,0.8123,0.8123,0.8123,0.8123,0
20211020,0.7908,0.7908,0.7908,0.7908,0
20211021,0.8332,0.8332,0.8332,0.8332,0
20211022,0.8098,0.8098,0.8098,0.8098,0
20211025,0.7771,0.7771,0.7771,0.7771,0
20211026,0.7581,0.7581,0.7581,0.7581,0
20211027,0.6597,0.6597,0.6597,0.6597,0
20211028,0.6989,0.6989,0.6989,0.6989,0
20211029,0.7935,0.7935,0.7935,0.7935,0
20211101,0.8033,0.8033,0.8033,0.8033,0
20211102,0.7555,0.7555,0.7555,0.7555,0
20211103,0.7947,0.7947,0.7947,0.7947,0
20211104,0.6146,0.6146,0.6146,0.6146,0
20211105,0.5142,0.5142,0.5142,0.5142,0
20211108,0.5266,0.5266,0.5266,0.5266,0
20211109,0.5444,0.5444,0.5444,0.5444,0
20211110,0.6591,0.6591,0.6591,0.6591,0
20211111,0.6476,0.6476,0.6476,0.6476,0
20211112,0.6227,0.6227,0.6227,0.6227,0
20211115,0.6526,0.6526,0.6526,0.6526,0
20211116,0.6808,0.6808,0.6808,0.6808,0
20211117,0.6737,0.6737,0.6737,0.6737,0
20211118,0.6285,0.6285,0.6285,0.6285,0
20211119,0.5835,0.5835,0.5835,0.5835,0
20211122,0.6276,0.6276,0.6276,0.6276,0
20211123,0.6806,0.6806,0.6806,0.6806,0
20211124,0.7123,0.7123,0.7123,0.7123,0
20211125,0.6815,0.6815,0.6815,0.6815,0
20211126,0.5421,0.5421,0.5421,0.5421,0
20211129,0.5824,0.5824,0.5824,0.5824,0
20211130,0.5809,0.5809,0.5809,0.5809,0
20211201,0.6077,0.6077,0.6077,0.6077,0
20211202,0.5780,0.5780,0.5780,0.5780,0
20211203,0.5500,0.5500,0.5500,0.5500,0
20211206,0.5214,0.5214,0.5214,0.5214,0
20211207,0.5138,0.5138,0.5138,0.5138,0
20211208,0.5161,0.5161,0.5161,0.5161,0
20211209,0.4979,0.4979,0.4979,0.4979,0
20211210,0.4800,0.4800,0.4800,0.4800,0
20211213,0.4688,0.4688,0.4688,0.4688,0
20211214,0.4957,0.4957,0.4957,0.4957,0
20211215,0.5180,0.5180,0.5180,0.5180,0
20211216,0.5479,0.5479,0.5479,0.5479,0
20211217,0.5655,0.5655,0.5655,0.5655,0
20211220,0.5766,0.5766,0.5766,0.5766,0
20211221,0.6697,0.6697,0.6697,0.6697,0
20211222,0.6953,0.6953,0.6953,0.6953,0
20211223,0.7311,0.7311,0.7311,0.7311,0
20211224,0.7185,0.7185,0.7185,0.7185,0
20211229,0.7901,0.7901,0.7901,0.7901,0
20211230,0.7656,0.7656,0.7656,0.7656,0
20211231,0.7621,0.7621,0.7621,0.7621,0
20220104,0.8583,0.8583,0.8583,0.8583,0
20220105,0.8656,0.8656,0.8656,0.8656,0
20220106,0.9264,0.9264,0.9264,0.9264,0
20220107,0.9524,0.9524,0.9524,0.9524,0
20220110,0.9675,0.9675,0.9675,0.9675,0
20220111,0.9656,0.9656,0.9656,0.9656,0
20220112,0.9438,0.9438,0.9438,0.9438,0
20220113,0.9048,0.9048,0.9048,0.9048,0
20220114,0.9292,0.9292,0.9292,0.9292,0
20220117,0.9581,0.9581,0.9581,0.9581,0
20220118,0.9876,0.9876,0.9876,0.9876,0
20220119,1.0386,1.0386,1.0386,1.0386,0
20220120,1.0090,1.0090,1.0090,1.0090,0
20220121,0.9617,0.9617,0.9617,0.9617,0
20220124,0.9330,0.9330,0.9330,0.9330,0
20220125,0.9523,0.9523,0.9523,0.9523,0
20220126,0.9931,0.9931,0.9931,0.9931,0
20220127,1.0312,1.0312,1.0312,1.0312,0
20220128,1.0322,1.0322,1.0322,1.0322,0
20220131,1.1020,1.1020,1.1020,1.1020,0
20220201,1.1116,1.1116,1.1116,1.1116,0
20220202,1.0705,1.0705,1.0705,1.0705,0
20220203,1.1940,1.1940,1.1940,1.1940,0
20220204,1.2685,1.2685,1.2685,1.2685,0
20220207,1.2781,1.2781,1.2781,1.2781,0
20220208,1.3423,1.3423,1.3423,1.3423,0
20220209,1.2763,1.2763,1.2763,1.2763,0
20220210,1.3607,1.3607,1.3607,1.3607,0
20220211,1.3830,1.3830,1.3830,1.3830,0
20220214,1.4382,1.4382,1.4382,1.4382,0
20220215,1.4690,1.4690,1.4690,1.4690,0
20220216,1.3689,1.3689,1.3689,1.3689,0
20220217,1.3038,1.3038,1.3038,1.3038,0
20220218,1.2335,1.2335,1.2335,1.2335,0
20220221,1.2426,1.2426,1.2426,1.2426,0
20220222,1.3076,1.3076,1.3076,1.3076,0
20220223,1.2780,1.2780,1.2780,1.2780,0
20220224,1.2464,1.2464,1.2464,1.2464,0
20220225,1.2110,1.2110,1.2110,1.2110,0
20220228,1.1001,1.1001,1.1001,1.1001,0
20220301,0.8380,0.8380,0.8380,0.8380,0
20220302,1.0279,1.0279,1.0279,1.0279,0
20220303,1.1024,1.1024,1.1024,1.1024,0
20220304,0.9896,0.9896,0.9896,0.9896,0
20220307,1.0932,1.0932,1.0932,1.0932,0
20220308,1.2335,1.2335,1.2335,1.2335,0
20220309,1.3363,1.3363,1.3363,1.3363,0
20220310,1.3160,1.3160,1.3160,1.3160,0
20220311,1.3139,1.3139,1.3139,1.3139,0
20220314,1.3903,1.3903,1.3903,1.3903,0
20220315,1.3533,1.3533,1.3533,1.3533,0
20220316,1.4181,1.4181,1.4181,1.4181,0
20220317,1.3330,1.3330,1.3330,1.3330,0
20220318,1.2396,1.2396,1.2396,1.2396,0
20220321,1.3494,1.3494,1.3494,1.3494,0
20220322,1.4537,1.4537,1.4537,1.4537,0
20220323,1.4235,1.4235,1.4235,1.4235,0
20220324,1.4041,1.4041,1.4041,1.4041,0
20220325,1.4585,1.4585,1.4585,1.4585,0
20220328,1.4133,1.4133,1.4133,1.4133,0
