DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
20210910,-0.1180,-0.1180,-0.1180,-0.1180,0
20210913,-0.1210,-0.1210,-0.1210,-0.1210,0
20210914,-0.1220,-0.1220,-0.1220,-0.1220,0
20210915,-0.1230,-0.1230,-0.1230,-0.1230,0
20210916,-0.1190,-0.1190,-0.1190,-0.1190,0
20210917,-0.1200,-0.1200,-0.1200,-0.1200,0
20210921,-0.1230,-0.1230,-0.1230,-0.1230,0
20210922,-0.1240,-0.1240,-0.1240,-0.1240,0
20210924,-0.1250,-0.1250,-0.1250,-0.1250,0
20210927,-0.1170,-0.1170,-0.1170,-0.1170,0
20210928,-0.1180,-0.1180,-0.1180,-0.1180,0
20210929,-0.1190,-0.1190,-0.1190,-0.1190,0
20210930,-0.1090,-0.1090,-0.1090,-0.1090,0
20211001,-0.1200,-0.1200,-0.1200,-0.1200,0
20211004,-0.1130,-0.1130,-0.1130,-0.1130,0
20211005,-0.1140,-0.1140,-0.1140,-0.1140,0
20211006,-0.1130,-0.1130,-0.1130,-0.1130,0
20211007,-0.1140,-0.1140,-0.1140,-0.1140,0
20211008,-0.1140,-0.1140,-0.1140,-0.1140,0
20211011,-0.1160,-0.1160,-0.1160,-0.1160,0
20211012,-0.1170,-0.1170,-0.1170,-0.1170,0
20211013,-0.1180,-0.1180,-0.1180,-0.1180,0
20211014,-0.1190,-0.1190,-0.1190,-0.1190,0
20211015,-0.1190,-0.1190,-0.1190,-0.1190,0
20211018,-0.1160,-0.1160,-0.1160,-0.1160,0
20211019,-0.1170,-0.1170,-0.1170,-0.1170,0
20211020,-0.1170,-0.1170,-0.1170,-0.1170,0
20211021,-0.1170,-0.1170,-0.1170,-0.1170,0
20211022,-0.1170,-0.1170,-0.1170,-0.1170,0
20211025,-0.1160,-0.1160,-0.1160,-0.1160,0
20211026,-0.1080,-0.1080,-0.1080,-0.1080,0
20211027,-0.1090,-0.1090,-0.1090,-0.1090,0
20211028,-0.1090,-0.1090,-0.1090,-0.1090,0
20211029,-0.1090,-0.1090,-0.1090,-0.1090,0
20211101,-0.1100,-0.1100,-0.1100,-0.1100,0
20211102,-0.1000,-0.1000,-0.1000,-0.1000,0
20211104,-0.1020,-0.1020,-0.1020,-0.1020,0
20211105,-0.1120,-0.1120,-0.1120,-0.1120,0
20211108,-0.1120,-0.1120,-0.1120,-0.1120,0
20211109,-0.1050,-0.1050,-0.1050,-0.1050,0
20211110,-0.1060,-0.1060,-0.1060,-0.1060,0
20211111,-0.1070,-0.1070,-0.1070,-0.1070,0
20211112,-0.1170,-0.1170,-0.1170,-0.1170,0
20211115,-0.1250,-0.1250,-0.1250,-0.1250,0
20211116,-0.1310,-0.1310,-0.1310,-0.1310,0
20211117,-0.1360,-0.1360,-0.1360,-0.1360,0
20211118,-0.1310,-0.1310,-0.1310,-0.1310,0
20211119,-0.1360,-0.1360,-0.1360,-0.1360,0
20211122,-0.1370,-0.1370,-0.1370,-0.1370,0
20211124,-0.1380,-0.1380,-0.1380,-0.1380,0
20211125,-0.1380,-0.1380,-0.1380,-0.1380,0
20211126,-0.1400,-0.1400,-0.1400,-0.1400,0
20211129,-0.1390,-0.1390,-0.1390,-0.1390,0
20211130,-0.1300,-0.1300,-0.1300,-0.1300,0
20211201,-0.1300,-0.1300,-0.1300,-0.1300,0
20211202,-0.1200,-0.1200,-0.1200,-0.1200,0
20211203,-0.1210,-0.1210,-0.1210,-0.1210,0
20211206,-0.1230,-0.1230,-0.1230,-0.1230,0
20211207,-0.1240,-0.1240,-0.1240,-0.1240,0
20211208,-0.1240,-0.1240,-0.1240,-0.1240,0
20211209,-0.1150,-0.1150,-0.1150,-0.1150,0
20211210,-0.1130,-0.1130,-0.1130,-0.1130,0
20211213,-0.1140,-0.1140,-0.1140,-0.1140,0
20211214,-0.1190,-0.1190,-0.1190,-0.1190,0
20211215,-0.1190,-0.1190,-0.1190,-0.1190,0
20211216,-0.1160,-0.1160,-0.1160,-0.1160,0
20211217,-0.1100,-0.1100,-0.1100,-0.1100,0
20211220,-0.1120,-0.1120,-0.1120,-0.1120,0
20211221,-0.1130,-0.1130,-0.1130,-0.1130,0
20211222,-0.1040,-0.1040,-0.1040,-0.1040,0
20211223,-0.1040,-0.1040,-0.1040,-0.1040,0
20211224,-0.0980,-0.0980,-0.0980,-0.0980,0
20211227,-0.0990,-0.0990,-0.0990,-0.0990,0
20211228,-0.0990,-0.0990,-0.0990,-0.0990,0
20211229,-0.0980,-0.0980,-0.0980,-0.0980,0
20211230,-0.0890,-0.0890,-0.0890,-0.0890,0
20220104,-0.0910,-0.0910,-0.0910,-0.0910,0
20220105,-0.0910,-0.0910,-0.0910,-0.0910,0
20220106,-0.1000,-0.1000,-0.1000,-0.1000,0
20220107,-0.1000,-0.1000,-0.1000,-0.1000,0
20220111,-0.1080,-0.1080,-0.1080,-0.1080,0
20220112,-0.1080,-0.1080,-0.1080,-0.1080,0
20220113,-0.1070,-0.1070,-0.1070,-0.1070,0
20220114,-0.1070,-0.1070,-0.1070,-0.1070,0
20220117,-0.1070,-0.1070,-0.1070,-0.1070,0
20220118,-0.1060,-0.1060,-0.1060,-0.1060,0
20220119,-0.1060,-0.1060,-0.1060,-0.1060,0
20220120,-0.1050,-0.1050,-0.1050,-0.1050,0
20220121,-0.1050,-0.1050,-0.1050,-0.1050,0
20220124,-0.0930,-0.0930,-0.0930,-0.0930,0
20220125,-0.0930,-0.0930,-0.0930,-0.0930,0
20220126,-0.0930,-0.0930,-0.0930,-0.0930,0
20220127,-0.0820,-0.0820,-0.0820,-0.0820,0
20220128,-0.0820,-0.0820,-0.0820,-0.0820,0
20220131,-0.0800,-0.0800,-0.0800,-0.0800,0
20220201,-0.0800,-0.0800,-0.0800,-0.0800,0
20220202,-0.0800,-0.0800,-0.0800,-0.0800,0
20220203,-0.0810,-0.0810,-0.0810,-0.0810,0
20220204,-0.0810,-0.0810,-0.0810,-0.0810,0
20220207,-0.0820,-0.0820,-0.0820,-0.0820,0
20220208,-0.0820,-0.0820,-0.0820,-0.0820,0
20220209,-0.0830,-0.0830,-0.0830,-0.0830,0
20220210,-0.0800,-0.0800,-0.0800,-0.0800,0
20220214,-0.0740,-0.0740,-0.0740,-0.0740,0
20220215,-0.0750,-0.0750,-0.0750,-0.0750,0
20220216,-0.0750,-0.0750,-0.0750,-0.0750,0
20220217,-0.0650,-0.0650,-0.0650,-0.0650,0
20220218,-0.0660,-0.0660,-0.0660,-0.0660,0
20220221,-0.0700,-0.0700,-0.0700,-0.0700,0
20220222,-0.0700,-0.0700,-0.0700,-0.0700,0
20220224,-0.0700,-0.0700,-0.0700,-0.0700,0
20220225,-0.0700,-0.0700,-0.0700,-0.0700,0
20220228,-0.0700,-0.0700,-0.0700,-0.0700,0
20220301,-0.0700,-0.0700,-0.0700,-0.0700,0
20220302,-0.0700,-0.0700,-0.0700,-0.0700,0
20220303,-0.0710,-0.0710,-0.0710,-0.0710,0
20220304,-0.0810,-0.0810,-0.0810,-0.0810,0
20220307,-0.0820,-0.0820,-0.0820,-0.0820,0
20220308,-0.0830,-0.0830,-0.0830,-0.0830,0
20220309,-0.0730,-0.0730,-0.0730,-0.0730,0
20220310,-0.0730,-0.0730,-0.0730,-0.0730,0
20220311,-0.0740,-0.0740,-0.0740,-0.0740,0
20220314,-0.0640,-0.0640,-0.0640,-0.0640,0
20220315,-0.0650,-0.0650,-0.0650,-0.0650,0
20220316,-0.0650,-0.0650,-0.0650,-0.0650,0
20220317,-0.0650,-0.0650,-0.0650,-0.0650,0
20220318,-0.0600,-0.0600,-0.0600,-0.0600,0
20220322,-0.0620,-0.0620,-0.0620,-0.0620,0
20220323,-0.0620,-0.0620,-0.0620,-0.0620,0
20220324,-0.0630,-0.0630,-0.0630,-0.0630,0
20220325,-0.0630,-0.0630,-0.0630,-0.0630,0
20220328,-0.0540,-0.0540,-0.0540,-0.0540,0
20220329,-0.0550,-0.0550,-0.0550,-0.0550,0
20220330,-0.0650,-0.0650,-0.0650,-0.0650,0
20220331,-0.0750,-0.0750,-0.0750,-0.0750,0
20220401,-0.0750,-0.0750,-0.0750,-0.0750,0
20220404,-0.0760,-0.0760,-0.0760,-0.0760,0
20220405,-0.0760,-0.0760,-0.0760,-0.0760,0
20220406,-0.0750,-0.0750,-0.0750,-0.0750,0
20220407,-0.0770,-0.0770,-0.0770,-0.0770,0
20220408,-0.0970,-0.0970,-0.0970,-0.0970,0
20220411,-0.1050,-0.1050,-0.1050,-0.1050,0
