# QUALITY=PROXY_OTR_JGBI | On-the-run 10Y JGBi real (JSDA price + MoF coupon; MoF BEI method) | generated by fetch_jpy_real.py
DATE,NOM10,REAL10,BE10
20200106,-0.0153,-0.2094,0.1941
20200107,-0.0256,-0.2201,0.1945
20200108,-0.0078,-0.1935,0.1857
20200109,-0.0127,-0.1883,0.1755
20200110,-0.0027,-0.183,0.1803
20200114,-0.0024,-0.1789,0.1765
20200115,0.0131,-0.1597,0.1728
20200116,0.0076,-0.1726,0.1802
20200117,0.0082,-0.1727,0.1809
20200120,-0.002,-0.1835,0.1815
20200121,0.008,-0.1729,0.1809
20200122,-0.0064,-0.1837,0.1773
20200123,-0.0024,-0.1784,0.176
20200124,-0.0228,-0.1677,0.1449
20200127,-0.0226,-0.1657,0.1431
20200128,-0.0449,-0.184,0.1391
20200129,-0.0368,-0.1798,0.1429
20200130,-0.0387,-0.1787,0.14
20200131,-0.0567,-0.1842,0.1275
20200203,-0.0614,-0.1897,0.1283
20200204,-0.0591,-0.1844,0.1253
20200205,-0.051,-0.1737,0.1227
20200206,-0.0375,-0.1576,0.1201
20200207,-0.0206,-0.1414,0.1209
20200210,-0.0415,-0.147,0.1055
20200212,-0.0573,-0.1579,0.1006
20200213,-0.0431,-0.1482,0.105
20200214,-0.0331,-0.1471,0.114
20200217,-0.0274,-0.1559,0.1285
20200218,-0.0323,-0.1473,0.115
20200219,-0.0491,-0.1474,0.0982
20200220,-0.0431,-0.1366,0.0935
20200221,-0.038,-0.1236,0.0856
20200225,-0.0592,-0.1368,0.0776
20200226,-0.0988,-0.1531,0.0543
20200227,-0.087,-0.1423,0.0553
20200228,-0.1037,-0.164,0.0603
20200302,-0.1536,-0.1967,0.0431
20200303,-0.1316,-0.2022,0.0706
20200304,-0.1036,-0.1914,0.0879
20200305,-0.1331,-0.2132,0.0801
20200306,-0.1004,-0.1872,0.0868
20200309,-0.1222,-0.208,0.0857
20200310,-0.1384,-0.2459,0.1076
20200311,-0.0285,-0.121,0.0925
20200312,-0.0529,-0.0442,-0.0087
20200313,-0.0436,0.0499,-0.0936
20200316,0.0096,0.2693,-0.2597
20200317,0.0266,0.2774,-0.2508
20200318,0.0217,0.2695,-0.2478
20200319,0.0639,0.1981,-0.1342
20200323,0.1096,0.1961,-0.0865
20200324,0.0787,0.1623,-0.0836
20200325,0.0504,0.1702,-0.1199
20200326,0.0483,0.1455,-0.0972
20200327,0.0255,0.0837,-0.0582
20200330,0.0264,0.0558,-0.0294
20200331,0.0131,0.0782,-0.0651
20200401,0.029,0.1176,-0.0885
20200402,0.0169,0.1176,-0.1007
20200403,-0.0028,0.103,-0.1058
20200406,-0.0091,0.0952,-0.1043
20200407,0.004,0.1178,-0.1137
20200408,0.0048,0.1178,-0.113
20200409,0.015,0.1348,-0.1198
20200410,0.0142,0.1405,-0.1263
20200413,0.0008,0.1236,-0.1228
